store_id,name,product,address,email,phone
01GSTGEDXXPXS8X3F0W4D0GHSP,Myworks,Tahini Paste,Room 1993,wdemarco0@mit.edu,324-232-3512
01GSTGEDXZM1GR9EZAWPMVHWG0,Realblab,"Wine - Red, Cooking",Suite 44,sclaffey1@mlb.com,856-186-1559
01GSTGEDY14G51MQDA27766X0F,Youbridge,Alize Sunset,Room 1836,greddihough2@state.tx.us,526-993-4368
01GSTGEDY3HDSDDNVCXT1CPKD0,Twinder,Mcguinness - Blue Curacao,1st Floor,rorritt3@paypal.com,736-433-8231
01GSTGEDY4F6HDV5CPEMA5ZRN6,Riffpath,Cheese Cheddar Processed,Suite 6,fkirimaa4@usnews.com,801-539-5773
01GSTGEDY6WV4SNZ1RM48F77VP,Cogibox,"Lid - High Heat, Super Clear",Suite 33,imaggillandreis5@photobucket.com,966-340-0127
01GSTGEDY7D0SK8TFMZ29KMN56,Thoughtstorm,Potatoes - Peeled,PO Box 5684,tweavill6@fc2.com,287-308-2370
01GSTGEDY86YY251D3FW0Y7M86,Jabbersphere,"Pork - Bacon, Double Smoked",PO Box 32651,hdaysh7@google.co.uk,593-674-7051
01GSTGEDY95B14BHQWDYWZ7D8K,Blogtags,Wine - Sicilia Igt Nero Avola,3rd Floor,cditts8@blogs.com,763-875-5551
01GSTGEDYA89AYGP8M48SKYHEN,Plajo,Bar Bran Honey Nut,1st Floor,ffather9@ovh.net,857-580-7395
01GSTGEDYCJV6J0NFZYP7RG3M7,Skinder,Cocktail Napkin Blue,Room 770,oaxforda@sina.com.cn,543-283-6489
01GSTGEDYDETWR1EGNTS5A07H5,Roombo,Trueblue - Blueberry Cranberry,Suite 59,abignalb@economist.com,782-670-1145
01GSTGEDYEGR88GBJWHN9H5W9A,Yakitri,Long Island Ice Tea,2nd Floor,fbodmanc@goo.gl,438-482-3171
01GSTGEDYFH1HGCVZEJEWVT03K,Eazzy,Fudge - Cream Fudge,18th Floor,byakunikovd@behance.net,433-449-7178
01GSTGEDYGWFKG3854VKCYYPET,Blogpad,Mousse - Passion Fruit,14th Floor,jantaoe@nationalgeographic.com,283-917-9938
01GSTGEDYJS09SG8848P3HQ5FB,Twinte,"Sole - Dover, Whole, Fresh",Apt 305,fianninif@craigslist.org,551-221-9075
01GSTGEDYKXB4YT7KZ1S3ZS1BD,Innojam,"Wine - Red, Marechal Foch",Apt 202,vgresswellg@fc2.com,203-954-0192
01GSTGEE2YV9B0NQA1PQEHBDAX,Fivebridge,"Liqueur Banana, Ramazzotti",Apt 132,bbutterwickh@who.int,126-669-2258
01GSTGEE3NP481FCQDR5D7SZJ2,Tanoodle,Puree - Mango,Apt 798,mmoberleyi@nps.gov,968-361-0746
01GSTGEE422CXP72113QDAZV5C,Podcat,Sauce - Ranch Dressing,Room 1027,cwilmorej@macromedia.com,595-172-2035
01GSTGEE45V2C77YQKB1PN4XRG,Kanoodle,"Carrots - Purple, Organic",PO Box 66755,lplutherok@accuweather.com,818-950-0656
01GSTGEE493W20Z1E9TY9MPJ1C,Digitube,Yucca,PO Box 73753,jdengel@mediafire.com,715-783-1643
01GSTGEE4DJH2SA6CXW84XC4CX,Kwimbee,Spice - Peppercorn Melange,Suite 9,tpraym@imgur.com,292-591-7471
01GSTGEE4G8WW814D9YHF1MVMG,Thoughtbridge,Turnip - Mini,Suite 65,bfitzsimonsn@hibu.com,131-434-9684
01GSTGEE4KVFYES3Q936NPXV34,Flashdog,Easy Off Oven Cleaner,PO Box 82212,lpietascho@jigsy.com,167-658-9211
