cart_id,product_id,quantity,created_at,modified_at,user_id,order_id
01GSTE4KN1EKD97K2GAZWX3NPJ,01GSTE4KN2C0SHZMYXP4WPKZFT,37,2022-02-16,2022-03-11,01GSTE4KN6C6TNJV7C3JWM0DH2,01GSTE4KN61B08QW2CAFBW5GQB
01GSTE4KN776WM4BV6W7FP4QAS,01GSTE4KN73PHF2H23YA3R5SWJ,86,2022-12-22,2022-06-20,01GSTE4KNAA6W8VXQ224YV5TRT,01GSTE4KNBX8PJJVZYSEAH2J5H
01GSTE4KNBX4EAMDE2KE4692M6,01GSTE4KNCQA9MNZCSY37SC9WG,83,2022-02-28,2022-07-24,01GSTE4KNE68G90416H91RY6F7,01GSTE4KNF44RYSZDQCZMHJ6ET
01GSTE4KNGGX9WW2JXMGWVK7P5,01GSTE4KNG6XBK317EZPHT78R7,70,2022-12-10,2022-08-13,01GSTE4KNJHSKQ04QP7RWD5TNC,01GSTE4KNKNGJRMSTM8AWQHK7J
01GSTE4KNMNDY3A89AFQ5HB8GD,01GSTE4KNMXBWXZ2C7DS8CF3MY,66,2022-08-21,2023-01-20,01GSTE4KNPKHY9BVEK0DGF0PEN,01GSTE4KNQA6D12JNH6737Y51C
01GSTE4KNR8Y2K3K9JH5XWV4CQ,01GSTE4KNSSP3CVF7X1T0QG6Q3,27,2022-09-18,2022-04-22,01GSTE4KNVW2AMJBXA24RX8HW5,01GSTE4KNVEZ1R2AMZDWFW4M8H
01GSTE4KNWAZB40WX3P3J2VJ78,01GSTE4KNWFNAVS2WXZGTR47TF,26,2022-09-02,2022-01-30,01GSTE4KNZTSXAS60REGJ0RX2V,01GSTE4KP0MAF728Q12SDT0X8E
01GSTE4KP09CBFNRZT9TY4Q2Q3,01GSTE4KP1BFQFKGG5ZF73JB87,10,2022-11-16,2022-01-17,01GSTE4KP33S63N8HQYNDQHF5A,01GSTE4KP4CYY935M5G0V68FMQ
01GSTE4KP5E63KZM071MQHAXYT,01GSTE4KP53R4FNZXS1XE6MGGV,49,2022-03-20,2022-08-08,01GSTE4KP8F3BHS20VP0S401R9,01GSTE4KP856H7EJ51T3J2V6VQ
01GSTE4KP8N02VF1XT2DH29SZ2,01GSTE4KP99WMD7MJZ9HTKB8AG,44,2022-03-05,2022-10-18,01GSTE4KPBGWS668Q9SFN572X6,01GSTE4KPCXXTFXRVB0RQGPYXY
01GSTE4KPCVD4D3W2HSW2HT7ZT,01GSTE4KPDEKJ3XYQ195PC68A6,57,2022-10-30,2022-08-02,01GSTE4KPF8676C15MX8DSXK7W,01GSTE4KPGXAMZDKXC71SGQ70G
01GSTE4KPG291NPEQ16YF771N7,01GSTE4KPHC8AK5MPMYB56VR07,11,2022-04-02,2023-01-27,01GSTE4KPKR8XS4QC9S2BWBPBA,01GSTE4KPM45XMHB1VNJ4T77DP
01GSTE4KPNAH78P2G34J6B2J3T,01GSTE4KPNFRR58KKM6EGX2BGF,34,2022-08-08,2023-02-19,01GSTE4KPR3PWSZJJDV5AAJ04M,01GSTE4KPSCPV5AXEDGRXQD7BM
01GSTE4KPTTMDJF9VYQKRHQCC5,01GSTE4KPV2H9RCA6GCQH7C9FT,72,2022-03-31,2022-06-01,01GSTE4KPX07Z911RS0BSBZMMZ,01GSTE4KPYJQE2Y1VYV1NQBN0T
01GSTE4KPZSG8K53GPD1ZYYD6E,01GSTE4KPZ5CZ5YE4GHD11665S,92,2023-01-16,2022-10-02,01GSTE4KQ25XDNDTZ4RJWG2XN5,01GSTE4KQ2CVZ3NJZ7YVEHD787
01GSTE4KQ31GST6YZRHJ1C9XF4,01GSTE4KQ35VJWJ2FK9KZYAXE0,31,2022-10-27,2022-11-27,01GSTE4KQ55CN4D5G9W5DZDVQ3,01GSTE4KQ53M2KXA8V9RVX5HY9
01GSTE4KQ64KFBQTA9FR039WFP,01GSTE4KQ64KV2J3B40V873EPT,72,2023-01-21,2022-12-16,01GSTE4KQ8AENFYRG6E9ZR6B21,01GSTE4KQ872GNMDNQCET5698V
01GSTE4KQ926A5ZBE2C8RWYSS0,01GSTE4KQ9E1EXC6M65XK550Y0,16,2022-03-01,2022-05-25,01GSTE4KQAQZ4SPBK9JV0PS8EZ,01GSTE4KQBGKV2D0JT314H3M7J
01GSTE4KQBFV7280XFCD3ZJCMQ,01GSTE4KQBC2XJPB3D2A5D7ARZ,35,2022-07-15,2022-05-05,01GSTE4KQDVEC7TPPWX1N6Z1H4,01GSTE4KQD7KNW5Y4VP04FRXEV
01GSTE4KQEE4TTQ59T3Y6C9MWQ,01GSTE4KQEDFY29YBTXQK2GMHT,14,2022-04-23,2022-08-26,01GSTE4KQGYS0JKGC4WAQ8PZR8,01GSTE4KQG2XCBBPV4BCCTZ033
01GSTE4KQGCF75DAA02GBCEGVS,01GSTE4KQHVANC0QFH61TJPC34,79,2022-10-26,2022-01-07,01GSTE4KQJBSWV6YZF7MK2A3J0,01GSTE4KQKK9ANER6VV14HX1RV
01GSTE4KQK2M76C22MYGSA30QH,01GSTE4KQMFA9D453TEZBN0H16,16,2022-02-01,2023-02-14,01GSTE4KQN2K38QZ7CWM0DFWG0,01GSTE4KQPBC916VEA5GCR84HA
01GSTE4KQQ3A6Y1NMCRPE2NE5K,01GSTE4KQQNJKYDCS5SG63NZ35,97,2022-11-27,2022-09-08,01GSTE4KQSDD57D1D1MVZ9J0EE,01GSTE4KQTHBFEKGYX50BYA97N
01GSTE4KQVKYG24H09RCECYPH8,01GSTE4KQVCWGVQ19E6XPM89NV,12,2022-10-09,2022-06-18,01GSTE4KQXSPPN9NBR6AGBEGY5,01GSTE4KQYGFX0FZ3EST4KC4PY
01GSTE4KQYEXX2E37Q11DC34YW,01GSTE4KQZS3FE0P8A6AQ877RZ,41,2022-09-29,2022-07-31,01GSTE4KR142BPTCWZVGX6SSWB,01GSTE4KR2S1NTG39YX52ZJH61
01GSTE4KR2WW46KS69B6ZG2R7C,01GSTE4KR3QQK1SVK55JDV7DCZ,56,2022-09-26,2022-09-05,01GSTE4KR5ZGYZRJ055FF222JH,01GSTE4KR63V6899D4SRWZJSRR
01GSTE4KR668JXKGEYHDPVZ1EM,01GSTE4KR7YHWG4MSHS4PN93X6,44,2022-02-25,2022-11-20,01GSTE4KR92W9ET6B36BH9W7JA,01GSTE4KRANCHP4Z0ERH4NF2TR
01GSTE4KRAEQ10MD0GW21HF91P,01GSTE4KRBJFERC5PJYTQ2B2BR,79,2022-02-16,2023-01-01,01GSTE4KRDAEDV0S581TYD1X4K,01GSTE4KRDRV9QQ0B0TP0TRREK
01GSTE4KRE0HDN2E60AAVN8KJF,01GSTE4KRENNB0FRQ4JVDM4JG2,74,2022-07-02,2022-11-16,01GSTE4KRGV4GJTMNX9BR6RQGP,01GSTE4KRHGYQBY76993JD90PW
01GSTE4KRJXZE6SSZ7H0YTSHFY,01GSTE4KRJ9CWHBWF9Q4HH2P25,23,2022-02-22,2022-08-25,01GSTE4KRMSPMAY5QN8P6TJAM8,01GSTE4KRNS0WTD7KSV5WTZ1E9
01GSTE4KRNSZWQ47325A48BTE8,01GSTE4KRPRZS37WCMTZDRRK2P,95,2022-09-04,2022-06-03,01GSTE4KRRW18Z159P1TBAADDE,01GSTE4KRRWXCRFNHNH7QF804F
01GSTE4KRSE939RN82ZJVV2E4Y,01GSTE4KRSVZQV70H860A9FYXD,98,2022-10-07,2022-10-12,01GSTE4KRWV0VAFDHK2KHMP2K7,01GSTE4KRWQEMJDABYZXGGDBTY
01GSTE4KRX0PPVHN8BNN86ZJZH,01GSTE4KRXR7ZSBWTE7Z9D4BC4,73,2022-11-25,2022-04-19,01GSTE4KRZ82SVTWVND8VRTFN4,01GSTE4KRZ3M45X55TZHWRP05F
01GSTE4KS01Y4X19D2B09B1VTN,01GSTE4KS1E0E3SFN01WEKG9H5,41,2022-03-29,2022-02-16,01GSTE4KS3KGHK8JK5SMY9E3FR,01GSTE4KS37W328D26YV4AA4N1
