cart_id,product_id,quantity,created_at,modified_at,user_id,order_id
01GSTC857PT8PHS5F3TJJ833RG,01GSTC857Q4QTB2WDFRHT1NB5S,35,1/28/2022,3/14/2022,01GSTC857T6YTEQV1W3YR3GMNR,01GSTC857V7TEXDHM8YW30WN85
01GSTC857V31C1952WJ4BS0KN1,01GSTC857W41SHHEV0K4YA62KM,65,2/20/2023,3/27/2022,01GSTC857XTZHN4NSG9SANA4BN,01GSTC857YW3GRY7XJXDN3EKZN
01GSTC857YF4PWY2AWVN0RPF94,01GSTC857Z9YP4C41M0XCREWYW,40,2/5/2022,8/6/2022,01GSTC85814DXDHTPR33RW6BFH,01GSTC858213WGBDC4HHD9R5ZF
01GSTC8583JG2F7NADGJWEK07Z,01GSTC8583H7FD43GAT34AYP5K,83,7/15/2022,6/8/2022,01GSTC85851PWHVTZEV3NXVPA2,01GSTC85862N9ZG8PDQ93MVDE2
01GSTC85862HWTWK423DMXC9A4,01GSTC8587WHNC4QBX69JKZP1J,14,12/22/2022,2/2/2022,01GSTC8589RP96SMKA04TBHR4T,01GSTC8589F3XJFA67A0JSQXAF
01GSTC858A7VKQJSTXXRGQE5VA,01GSTC858A7VAWW3RV9W3NN8J3,99,12/21/2022,4/1/2022,01GSTC858C3SQ4R3YTKWZFMXAF,01GSTC858DEAFCW53WB15H1PR9
01GSTC858DBW45T4AQECS0AZ49,01GSTC858EKA4XJGVHECPTCS29,91,3/19/2022,10/2/2022,01GSTC858G79Q7P4AP0ZMH05ED,01GSTC858HM7BKS3Z8FMTCV4PK
01GSTC858HNGAWJ2PEDF72J0R8,01GSTC858J8643J9VEJ0YYR74E,61,8/4/2022,9/11/2022,01GSTC858MAMWE0B2ATJ837N77,01GSTC858NJYHCX9FW3NRFA6NR
01GSTC858P3SCX0V6ZRB58092N,01GSTC858PX53W5NEPPQSWBH9Y,91,1/15/2022,7/17/2022,01GSTC858RDYPV4JYEBA763TSR,01GSTC858RVE9JHY3518GWEHX8
01GSTC858SJG6N1E29G257KJJ5,01GSTC858T7PHE3QHFH3SRPY1N,61,3/22/2022,8/8/2022,01GSTC858VS0MMGVVYMPSB0MTP,01GSTC858W90KRX3C25FW4Q1W9
01GSTC858W2BSF9CNCMY95DEY2,01GSTC858WSV9QD9GX2ZC02HCE,4,12/29/2022,6/26/2022,01GSTC858Y8M7FPEZZCA50HPPM,01GSTC858YBNEX1CREWPD1Q7FE
01GSTC858ZWTX44AH1BJ9KZGS7,01GSTC8590ZGRGADZ4HW2HZXXF,69,2/15/2023,1/2/2022,01GSTC859244RVRNE4QC5NQFWJ,01GSTC8592TXMV37C3BYNXP45A
01GSTC8593WB4G0Y4BQXEGNS52,01GSTC8593CE9DT46TR6QPEYM6,45,1/5/2023,6/11/2022,01GSTC8595MXP6ZBMQV6X08ZSF,01GSTC85952T3FSFD9C1QCA7M4
01GSTC8595W753C8ZTTZBAZAH8,01GSTC8596A3D2K9BDXX8MZDVW,17,8/2/2022,5/14/2022,01GSTC85998A4MRAD5JJY7BX9G,01GSTC8599CYRTD22PK7AZ52G7
01GSTC859AWD4890KWAK2HJH7E,01GSTC859AFPB4ENXZJDMQTCC9,48,11/25/2022,8/31/2022,01GSTC859D16VEYV3EZ1YX8KSZ,01GSTC859EPVX78VQWCRBF8PSH
01GSTC859ESG58YE5DVGB9YMNV,01GSTC859F9QYQB6ECT8S83PBG,15,11/17/2022,2/11/2023,01GSTC859GJK0FGXR3ZRE9C3N7,01GSTC859HCD0C4F0S0KXDZ42Q
01GSTC859JGG69ZNQYCTC61216,01GSTC859KQY7TEM304JVXMVPP,74,11/12/2022,2/19/2022,01GSTC859NT859TXX07Z50F0CX,01GSTC859PKRXDQEP8KV39BX83
01GSTC859P8XD6277M2R52CFB7,01GSTC859QVNSEBAS1YBF1QPVY,12,3/4/2022,2/11/2022,01GSTC859SWRXZ3FQA4H526W3S,01GSTC859TF4NX0NA1EPFWNBZM
01GSTC859TECKGKZ0HKAAZ9YFZ,01GSTC859VXE0SZPYJH307FREW,50,3/20/2022,10/15/2022,01GSTC859W6ZVV5XG3Z2VQ5QTZ,01GSTC859WSN9WWXGQ0262G7KD
01GSTC859X1WRSH7E91TRHVYTK,01GSTC859XDG11JG3ZFBMQK04C,49,2/5/2022,4/7/2022,01GSTC859ZZDH59DE2M6EV0CQR,01GSTC859ZG7CWM6DAKN337J41
01GSTC85A00NHJG11XNQBBTX1P,01GSTC85A05D033RG3YT6DEKKD,47,5/20/2022,3/7/2022,01GSTC85A222DVX49J94XQAGC0,01GSTC85A2GSNBS96XHMCTTKNK
01GSTC85A22JCYAX7YNFVB602H,01GSTC85A32RHM2YWPV4VF2PP1,41,11/3/2022,10/12/2022,01GSTC85A4YPJKAHTRH3HY4FJ0,01GSTC85A5QAPM1371MVCP2RZR
01GSTC85A5Y952YAP3HDPH1R1K,01GSTC85A6FX6TW157MAAY08R6,42,2/16/2022,12/5/2022,01GSTC85A7TW8TA1Z16Z5P49NC,01GSTC85A7XTQ14KZK1G796PES
01GSTC85A8Q4DAVCYBA2AWS7NG,01GSTC85A90ZGJMBPFTD4GCZ4J,23,8/3/2022,1/9/2022,01GSTC85AAXJM3T4J1BGKSZ37E,01GSTC85ABZA6SENRH7R1FXPBB
