payment_id,date,user_id,detail_id
01GSTC2DAXDH90AZM4464ZACNZ,12/16/2022,01GSTC2DAY313953MRQTG6QRDB,01GSTC2DAYEA0VWSZN6FS3WZY3
01GSTC2DAZRRQR9648068H311D,6/10/2022,01GSTC2DB1S2WQAMPVBCWVQBXY,01GSTC2DB1FCSN60YRAP3RM7K1
01GSTC2DB2M9ERXB4Q9NE7RWVY,7/30/2022,01GSTC2DB3DKRHEHZVSGDMX1YJ,01GSTC2DB30R4DEXBDXD2J6S0P
01GSTC2DB4FNAQKFETQSDXE2MB,1/19/2022,01GSTC2DB6HT5DRVY4K5J7G0PF,01GSTC2DB61GBRPJNFB86Z9PA3
01GSTC2DB7YHF9YZPS89Q5VM71,11/15/2022,01GSTC2DB7JTPH7D5VKK59P5C6,01GSTC2DB89DT0GPK97A2M5P51
01GSTC2DB8HB2FA4NMNDVQC8GH,10/17/2022,01GSTC2DBAB2F6ZTZHSCME3NNH,01GSTC2DBA91TGM04AV084NYPK
01GSTC2DBB5R1Y63NNVBFQZ856,9/9/2022,01GSTC2DBC9FB0V18AREGZKJ2V,01GSTC2DBCM3FSNBPJ0DAAPBEN
01GSTC2DBDCN0J4WKSSNB57050,1/1/2022,01GSTC2DBFGCN0AV4DP5F87MJE,01GSTC2DBF4ZY9TAR312E7WCRF
01GSTC2DBGA76BYDXNTGZXWTTZ,5/3/2022,01GSTC2DBH88SVZ9Y2ZF240TXD,01GSTC2DBHRE4193F8VZTYP4YB
01GSTC2DBJ3SC9NPCYRC9QA0V3,2/5/2023,01GSTC2DBK89BHKJK95693G4B5,01GSTC2DBMRCSWVZSWXYF0H0E0
01GSTC2DBMNBCNRYA4N1PX77DM,12/6/2022,01GSTC2DBN7H42N5TQMRVYPJFH,01GSTC2DBP75CGZ7RH56AW31JA
01GSTC2DBP6RSTSGSY5ER8R13D,10/2/2022,01GSTC2DBRB02KDTJ0PE1Q17MR,01GSTC2DBRSRQFTCRZVTN6SKNY
01GSTC2DBSNTN3M0BV16TQ4JY3,4/20/2022,01GSTC2DBTY2JWY169Y9SC0CMZ,01GSTC2DBTR8CKTCB3R6NEYKH0
01GSTC2DBVD892END4H7C7B22G,8/3/2022,01GSTC2DBXTAPDBE46PBZ2JSFZ,01GSTC2DBX95C621PDF7JXH51M
01GSTC2DBXFZA0Q58YZMSJ85NF,11/23/2022,01GSTC2DBY70P9945HB1DVJHGG,01GSTC2DBZJNX55Z4KCWNZCSCV
01GSTC2DBZRWS50PXZWGEZJAW8,1/14/2023,01GSTC2DC14AVHMCMQ7NTEK2E9,01GSTC2DC1N6YEGGMSMS0TB08W
01GSTC2DC2VVF2Q5DPH87NG83E,5/11/2022,01GSTC2DC3BG2CSCD122A0VFBV,01GSTC2DC3E49CEMAVJTHYZ2Y9
